num_requests;num_threads;job_wallclock_time_msec;sample_num;batch_num
2048;1;38023;0;2048
2048;1;38212;1;2048
2048;1;37806;2;2048
2048;1;37618;3;2048
2048;1;40194;4;2048
2048;1;39199;5;2048
2048;1;39162;6;2048
2048;1;38714;7;2048
2048;1;38468;8;2048
2048;1;39327;9;2048
2048;2;19631;0;1024
2048;2;19366;1;1024
2048;2;19594;2;1024
2048;2;19607;3;1024
2048;2;19564;4;1024
2048;2;19303;5;1024
2048;2;19302;6;1024
2048;2;19682;7;1024
2048;2;19614;8;1024
2048;2;19491;9;1024
2048;4;10801;0;512
2048;4;11653;1;512
2048;4;11320;2;512
2048;4;11029;3;512
2048;4;11010;4;512
2048;4;11059;5;512
2048;4;10881;6;512
2048;4;10659;7;512
2048;4;10630;8;512
2048;4;10840;9;512
2048;8;10640;0;256
2048;8;11114;1;256
2048;8;10589;2;256
2048;8;11076;3;256
2048;8;11093;4;256
2048;8;10934;5;256
2048;8;10808;6;256
2048;8;11153;7;256
2048;8;10975;8;256
2048;8;10740;9;256
2048;16;10738;0;128
2048;16;10775;1;128
2048;16;10809;2;128
2048;16;10850;3;128
2048;16;10632;4;128
2048;16;10712;5;128
2048;16;10692;6;128
2048;16;10573;7;128
2048;16;10503;8;128
2048;16;10322;9;128
2048;32;10342;0;64
2048;32;10338;1;64
2048;32;10305;2;64
2048;32;10298;3;64
2048;32;10261;4;64
2048;32;10317;5;64
2048;32;10338;6;64
2048;32;10333;7;64
2048;32;10595;8;64
2048;32;10209;9;64
2048;64;10273;0;32
2048;64;10266;1;32
2048;64;10262;2;32
2048;64;10255;3;32
2048;64;10193;4;32
2048;64;10203;5;32
2048;64;10222;6;32
2048;64;10274;7;32
2048;64;10237;8;32
2048;64;10538;9;32
2048;128;10352;0;16
2048;128;10277;1;16
2048;128;10282;2;16
2048;128;10247;3;16
2048;128;10376;4;16
2048;128;10226;5;16
2048;128;10221;6;16
2048;128;10286;7;16
2048;128;10277;8;16
2048;128;10323;9;16
2048;256;10210;0;8
2048;256;10253;1;8
2048;256;10295;2;8
2048;256;10262;3;8
2048;256;10305;4;8
2048;256;10227;5;8
2048;256;10293;6;8
2048;256;10306;7;8
2048;256;10332;8;8
2048;256;10147;9;8
2048;512;10269;0;4
2048;512;10216;1;4
2048;512;10229;2;4
2048;512;10228;3;4
2048;512;10224;4;4
2048;512;10184;5;4
2048;512;10238;6;4
2048;512;10241;7;4
2048;512;10268;8;4
2048;512;10273;9;4
2048;1024;10202;0;2
2048;1024;10176;1;2
2048;1024;10196;2;2
2048;1024;10187;3;2
2048;1024;10164;4;2
2048;1024;10191;5;2
2048;1024;10166;6;2
2048;1024;10145;7;2
2048;1024;10204;8;2
2048;1024;10111;9;2
2048;2048;10106;0;1
2048;2048;10132;1;1
2048;2048;10149;2;1
2048;2048;10130;3;1
2048;2048;10120;4;1
